ts,price,volume,side
1763510077.422,3116.8,0.01,B
1763510077.422,3116.72,0.01,B
1763510077.422,3116.72,0.01,B
1763510077.422,3116.7,0.01,B
1763510077.422,3116.7,0.01,B
1763510077.422,3116.66,0.02,B
1763510077.422,3116.63,0.02,B
1763510077.42,3116.61,0.01,B
1763510077.415,3116.57,0.02,B
1763510077.415,3116.56,0.14,B
1763510077.415,3116.56,0.01,B
1763510077.415,3116.56,0.01,B
1763510077.415,3116.56,0.32,B
1763510075.684,3116.55,0.11,S
1763510075.474,3116.56,0.08,B
1763510075.444,3116.58,0.01,S
1763510075.444,3116.58,0.01,S
1763510075.444,3116.61,0.01,S
1763510075.444,3116.7,0.01,S
1763510075.444,3116.7,0.01,S
1763510075.444,3116.71,0.02,S
1763510075.444,3116.76,0.01,S
1763510075.444,3116.76,0.01,S
1763510075.438,3116.77,0.5,B
1763510073.916,3116.77,4.1,B
1763510073.916,3116.77,1.37,B
1763510073.916,3116.77,1.37,B
1763510073.656,3116.74,0.01,B
1763510073.656,3116.74,0.01,B
1763510073.656,3116.7,0.01,B
1763510073.656,3116.7,0.01,B
1763510073.656,3116.6,0.01,B
1763510073.656,3116.59,0.15,B
1763510073.656,3116.59,0.01,B
1763510073.656,3116.59,0.01,B
1763510073.656,3116.59,0.32,B
1763510073.187,3116.65,0.01,S
1763510073.187,3116.65,0.01,S
1763510072.547,3116.7,0.01,S
1763510072.547,3116.7,0.01,S
1763510072.547,3116.76,0.01,S
1763510072.547,3116.77,0.02,S
1763510072.547,3116.81,0.01,S
1763510072.547,3116.81,0.01,S
1763510072.278,3116.93,0.46,B
1763510072.07,3116.91,0.01,B
1763510072.07,3116.91,0.01,B
1763510072.07,3116.88,0.01,B
1763510072.07,3116.87,0.01,B
1763510072.07,3116.82,0.01,B
1763510072.07,3116.79,0.02,B
1763510072.07,3116.75,0.01,B
1763510072.07,3116.75,0.01,B
1763510072.07,3116.72,0.01,B
1763510071.759,3116.71,0.01,S
1763510071.437,3116.7,0.01,B
1763510071.437,3116.7,0.01,B
1763510071.437,3116.6,0.01,B
1763510071.437,3116.58,0.01,B
1763510071.437,3116.58,0.01,B
1763510071.437,3116.58,0.01,B
1763510071.437,3116.58,0.01,B
1763510071.437,3116.58,0.01,B
1763510070.91,3116.66,0.01,S
1763510070.91,3116.66,0.01,S
1763510070.91,3116.68,0.01,S
1763510070.91,3116.7,0.01,S
1763510070.91,3116.7,0.01,S
1763510070.638,3116.7,0.01,B
1763510070.638,3116.7,0.01,B
1763510070.627,3116.68,0.01,B
1763510070.627,3116.66,0.01,B
1763510070.625,3116.65,0.01,B
1763510070.602,3116.63,0.01,B
1763510070.602,3116.59,0.01,B
1763510070.602,3116.59,0.01,B
1763510070.598,3116.52,0.01,B
1763510070.598,3116.52,0.01,B
1763510070.584,3116.49,0.51,B
1763510070.584,3116.43,0.01,B
1763510070.584,3116.43,0.01,B
1763510070.584,3116.4,0.01,B
1763510070.584,3116.39,0.02,B
1763510070.584,3116.34,0.01,B
1763510070.584,3116.28,0.01,B
1763510070.584,3116.28,0.57,B
1763510070.584,3116.28,2.8,B
1763510070.584,3116.28,0.05,B
1763510070.584,3116.28,1.03,B
1763510070.584,3116.28,0.09,B
1763510070.584,3116.28,0.01,B
1763510070.584,3116.28,0.01,B
1763510067.632,3116.27,0.05,S
1763510067.632,3116.27,0.01,S
1763510067.626,3116.4,0.01,S
1763510067.626,3116.4,0.01,S
1763510067.626,3116.4,0.01,S
1763510067.626,3116.42,0.01,S
1763510067.626,3116.42,0.01,S
1763510067.626,3116.44,0.01,S
1763510067.626,3116.46,0.02,S
1763510067.626,3116.49,0.01,S
1763510067.626,3116.49,0.11,S
1763510067.626,3116.49,0.09,S
1763510067.027,3116.54,0.01,S
1763510067.027,3116.58,0.02,S
1763510067.027,3116.58,0.01,S
1763510067.027,3116.58,0.01,S
1763510067.027,3116.59,0.01,S
1763510067.027,3116.59,0.01,S
1763510067.027,3116.59,0.31,S
1763510067.023,3116.59,0.02,S
1763510066.559,3116.61,0.01,S
1763510066.559,3116.61,0.01,S
1763510066.555,3116.68,0.01,S
1763510066.555,3116.7,0.01,S
1763510066.555,3116.7,0.01,S
1763510066.555,3116.72,0.01,S
1763510066.555,3116.72,0.03,S
